"CM視聴率 CMリスト"
"企業名:","ホンダ/本田技研工業"
"商品名:","指定なし"
"CM秒数:","全CM"
"番組名:","指定なし"
"検索期間:","2016年4月1日(金) 05:00～2017年3月31日(金) 28:59"
"レポート作成日時:","2017年5月30日（火）14:03"
"放送:","地デジ 5放送"
"サンプル:","関東エリア","個人 5311","FC 295","FT 209","F1 481","F2 783","F3- 552","F3+ 306","MC 267","MT 210","M1 495","M2 823","M3- 586","M3+ 304","世帯 2045","","※期間内最新サンプル数"
""
"CM視聴率(開始時)"
"日付","曜日","開始時刻","秒数","企業","商品","個人全体","FC","FT","F1","F2","F3-","F3+","MC","MT","M1","M2","M3-","M3+","世帯","放送局","番組"
"2017/3/23","木","06:41:41","15","ホンダ/本田技研工業","フィット","4.5","2.3","3.9","3.1","7.7","6.3","2.9","4.4","1.5","1.8","5.6","5.4","1.3","8.5","NTV","ＺＩＰ！"
"2017/3/23","木","06:41:26","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","4.5","2.3","3.9","3.1","7.7","6.3","2.9","4.4","1.5","1.8","5.6","5.4","1.3","8.5","NTV","ＺＩＰ！"
"2017/3/22","水","24:13:29","15","ホンダ/本田技研工業","フィット","3.7","0.7","1.9","2.3","4.4","5.0","4.2","0.4","1.0","2.6","4.7","6.6","3.9","7.6","EX","マツコ＆有吉の怒り新党"
"2017/3/22","水","24:13:14","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","3.8","0.7","1.9","2.3","4.6","5.0","4.2","0.4","1.0","2.6","4.8","6.8","3.9","7.7","EX","マツコ＆有吉の怒り新党"
"2017/3/22","水","23:50:19","15","ホンダ/本田技研工業","フリード","1.9","0.0","0.0","0.8","2.0","2.3","3.9","0.7","1.0","1.2","2.4","1.9","4.9","3.5","TX","ワールドビジネスサテライト"
"2017/3/22","水","23:50:04","15","ホンダ/本田技研工業","フィット","1.9","0.0","0.0","0.8","2.0","2.3","3.9","0.7","1.0","1.2","2.4","1.9","4.9","3.5","TX","ワールドビジネスサテライト"
"2017/3/22","水","23:48:44","15","ホンダ/本田技研工業","フリード","1.4","0.0","0.0","0.6","1.1","1.6","1.6","0.4","0.0","1.2","1.6","3.4","2.9","3.0","TBS","ＮＥＷＳ２３"
"2017/3/22","水","23:48:29","15","ホンダ/本田技研工業","フィット","1.4","0.0","0.0","0.6","1.1","1.8","1.6","0.4","0.0","1.2","1.6","3.6","2.9","3.0","TBS","ＮＥＷＳ２３"
"2017/3/22","水","23:48:10","30","ホンダ/本田技研工業","フリード","3.6","1.3","2.4","3.1","4.3","7.5","4.2","1.1","1.5","1.8","3.9","3.7","2.6","6.5","NTV","ＮＥＷＳＺＥＲＯ"
"2017/3/22","水","22:21:56","15","ホンダ/本田技研工業","フリード","2.9","0.7","1.5","4.1","1.9","3.8","3.9","0.7","2.0","3.6","2.9","3.6","3.6","5.1","TBS","水曜日のダウンタウン"
