date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/6,月,23,30,アクセラ,3.6,0.3,2.4,4.6,3.9,7.1,4.5,1.1,0,3.2,3.2,4.7,3.2,7.4,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/6,月,23,30,企業,1.4,0,0,1.2,1.3,1.9,3.2,0.4,1,0.6,1.4,2.2,3.2,2.8,TBS,ＮＥＷＳ２３,News
2017/3/5,日,23,30,企業,2.6,1,3.4,2.8,2,3.9,2.6,0.4,2,2.6,2.8,4.2,1.3,4.8,NTV,Ｇｏｉｎｇ！Ｓｐｏｒｔｓ＆Ｎｅｗｓ,Sports
2017/3/5,日,23,30,CX-5,3,0.7,1.5,3.2,3.5,4.3,3.3,1.4,2,2.2,3.5,3.2,3.9,5.6,TBS,情熱大陸,Documentary
2017/3/5,日,23,30,企業,3.3,0.7,1.5,3.4,3.6,5.2,4.9,1.4,2,2.2,3.8,3.9,3.5,6.3,TBS,情熱大陸,Documentary
2017/3/5,日,23,30,CX-5,2.7,1.3,1.5,1,3.1,3.9,3.6,1.1,1.5,0.8,3.1,4.6,3.5,4.8,CX,スポーツＬＩＦＥＨＥＲＯ’Ｓ,Sports
2017/3/5,日,22,30,企業,4.6,1,2,2,5.5,6.2,6.5,0.7,2.9,1.2,5.9,7.3,7.7,8,CX,Ｍｒ．サンデー,Informative
2017/3/5,日,18,30,CX-5,5.9,2,1.5,4,3.8,9.6,11.7,1.1,2.9,3.2,4.8,10.7,13.2,10,NTV,真相報道バンキシャ！,Variety
2017/3/5,土,3,30,企業,1,0.3,2,1,1.1,1.2,0.7,0,1,0.2,1.2,1.7,0.3,2,CX,今夜はナゾトレ傑作選,Variety
2017/3/5,土,1,30,アクセラ,1.5,0,0,0.8,1.9,2,1.3,0.4,1.5,0.8,1.9,2.5,2.3,3.2,TBS,ＣＯＵＮＴＤＯＷＮＴＶ,Variety
2017/3/4,土,24,30,企業,1.6,0.3,2.9,1.4,2.4,1.8,0.7,0,0.5,1,2.2,2.5,1,3.1,CX,スポーツＬＩＦＥＨＥＲＯ’Ｓ,Sports
2017/3/4,土,18,30,企業,2.8,0.7,0.5,1.6,1.1,4.3,7.5,0.4,2,0.6,2,3.7,12.2,5.3,TBS,報道特集,News
2017/3/4,土,14,30,企業,0.5,0,0,0.2,0.3,0.5,0,0,0,0.2,0.8,1,1.9,1.2,TX,夢、叶えるために…,Variety
2017/3/4,土,14,30,企業,1.6,0.7,0.5,1.6,1.3,2.5,2,1.4,0,1.2,1.7,2.2,1.9,2.9,CX,土チャレ・わすれない〜６年目の選択〜,Variety
2017/3/4,土,13,30,アクセラ,1.7,0.3,0.5,0,1.4,3,8.8,1.1,0,0.2,0.4,2,4.8,3.7,EX,西村京太郎トラベルミステリー５５（再）,Drama
2017/3/4,土,10,30,企業,2.3,0.7,1,1,3,3,5.9,0.7,0.5,0.6,1.7,4.2,3.9,4.7,NTV,「得する人損する人」傑作選,Variety
2017/3/4,金,3,30,企業,0.7,0.3,0.5,0.6,0.4,1.1,0.3,0,1,0.6,1.4,0.8,0.6,1.4,CX,アイドリアル〜アイドルの今を切り取る〜,Variety
2017/3/4,金,2,30,企業,0.8,0.3,0.5,0.6,0.5,1.1,0.3,0,1,1,1.2,1.5,1,1.6,CX,ＦＵＪＩＹＡＭＡＦＩＧＨＴＣＬＵＢスペシャル,Variety
2017/3/3,金,24,30,CX-5,2.9,1,2,3,2.4,5.3,3.3,1.1,1.5,1.8,3.5,4.2,2.6,5.6,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/3,金,24,30,CX-5,2,0.3,1,1,1.5,2.7,3.6,0.7,1.5,1.4,1.9,3.9,2.6,3.7,TBS,ＮＥＷＳ２３,News
2017/3/3,金,21,30,CX-5,2.6,3.4,0,2.4,3,2.3,2.6,2.2,1,3,3,2.9,2.9,4.9,EX,報道ステーション,News
